NO,COMPONENT,LAB,ANALYSIS DATE,SEASON,YEAR,FARM.CODE,TRIAL TYPE,PLOT NO,PLOTCODE,TREATMENT,NEW TREATMENT,N,S,CA,MG,MN,B,CU,MO,FE,ZN,P,K
34,GRAIN,YARA,Oct (2017),LR2016,2016,F7,NOT,P4,F74,NP,,1.56,0.09,0.02,0.1,9.8,1.2,9.5,0.13,56.7,26.3,0.22,0.31
35,GRAIN,YARA,Oct (2017),LR2016,2016,F7,NOT,P5,F75,NPK,,1.55,0.09,0.02,0.08,7.4,1.2,5.1,0.1,32.7,24.6,0.18,0.26
36,GRAIN,YARA,Oct (2017),LR2016,2016,F8,NOT,P1,F81,Control,,0.94,0.08,0.02,0.08,5.8,1.2,4.1,0.1,29.5,20.1,0.15,0.3
37,GRAIN,YARA,Oct (2017),LR2016,2016,F8,NOT,P2,F82,PK,,0.88,0.08,0.02,0.09,5.7,1,11.9,0.07,22.7,20.9,0.2,0.33
38,GRAIN,YARA,Oct (2017),LR2016,2016,F8,NOT,P3,F83,NK,,1.19,0.06,0.02,0.1,5.9,1,4.4,0.25,35.2,22,0.2,0.28
39,GRAIN,YARA,Oct (2017),LR2016,2016,F8,NOT,P4,F84,NP,,1.42,0.08,0.02,0.1,6.7,0.9,3.6,0.11,28.6,21.2,0.19,0.3
40,GRAIN,YARA,Oct (2017),LR2016,2016,F8,NOT,P5,F85,NPK,,1.4,0.06,0.02,0.1,5.2,0.8,6.9,0.34,28.3,21.4,0.26,0.33
41,GRAIN,YARA,Oct (2017),LR2016,2016,F9,NOT,P1,F91,Control,,0.97,0.09,0.02,0.07,4.3,1.2,4.8,0.07,26.9,18.7,0.14,0.28
42,GRAIN,YARA,Oct (2017),LR2016,2016,F9,NOT,P2,F92,PK,,1.58,0.08,0.02,0.1,6.7,1,4.2,0.08,42.3,22.5,0.25,0.26
43,GRAIN,YARA,Oct (2017),LR2016,2016,F9,NOT,P3,F93,NK,,1.27,0.09,0.02,0.08,5,1.6,4.3,0.07,36.2,19.8,0.14,0.28
44,GRAIN,YARA,Oct (2017),LR2016,2016,F9,NOT,P4,F94,NP,,1.64,0.12,0.02,0.1,6.1,1.3,8,0.06,39.9,21.8,0.2,0.28
45,GRAIN,YARA,Oct (2017),LR2016,2016,F9,NOT,P5,F95,NPK,,1.4,0.11,0.02,0.1,6.6,1.3,5.3,0.08,59,24.1,0.2,0.31
46,GRAIN,YARA,Oct (2017),LR2016,2016,F10,NOT,P1,F101,Control,,1.02,0.08,0.02,0.08,5.1,1.2,4.9,0.08,27.3,20.5,0.14,0.31
47,GRAIN,YARA,Oct (2017),LR2016,2016,F10,NOT,P2,F102,PK,,1.04,0.08,0.02,0.08,5.8,1.1,3.6,0.02,27.8,24.2,0.22,0.34
48,GRAIN,YARA,Oct (2017),LR2016,2016,F10,NOT,P3,F103,NK,,1.49,0.11,0.02,0.11,9.9,1.8,5.1,0.08,46.9,28.7,0.19,0.44
49,GRAIN,YARA,Oct (2017),LR2016,2016,F10,NOT,P4,F104,NP,,1.38,0.08,0.02,0.1,6.5,1.1,4.6,0.09,30.3,24.8,0.2,0.32
50,GRAIN,YARA,Oct (2017),LR2016,2016,F10,NOT,P5,F105,NPK,,1.49,0.08,0.01,0.1,6.9,1.1,3.4,0.05,32.4,28.6,0.22,0.31
51,GRAIN,YARA,Oct (2017),LR2016,2016,F11,NOT,P1,F111,Control,,0.95,0.08,0.02,0.08,5.9,1,4.9,0.09,36.2,19.7,0.18,0.31
52,GRAIN,YARA,Oct (2017),LR2016,2016,F11,NOT,P2,F112,PK,,0.92,0.08,0.02,0.08,7.6,0.9,4,0.05,19.3,19.1,0.2,0.32
53,GRAIN,YARA,Oct (2017),LR2016,2016,F11,NOT,P3,F113,NK,,1.7,0.1,0.02,0.13,21.6,2,5.5,0.13,51.1,29.4,0.2,0.51
54,GRAIN,YARA,Oct (2017),LR2016,2016,F11,NOT,P4,F114,NP,,1.72,0.08,0.02,0.1,8.9,1.6,4.9,0.07,30.9,23.3,0.26,0.31
55,GRAIN,YARA,Oct (2017),LR2016,2016,F11,NOT,P5,F115,NPK,,1.85,0.08,0.01,0.11,14.4,0.9,5.3,0.08,25.9,22.4,0.27,0.34
56,GRAIN,YARA,Oct (2017),LR2016,2016,F12,NOT,P1,F121,Control,,1.24,0.09,0.01,0.07,5.8,0.9,2.9,0.09,24.6,17.9,0.13,0.24
57,GRAIN,YARA,Oct (2017),LR2016,2016,F12,NOT,P2,F122,PK,,1.23,0.09,0.01,0.09,5.4,0.9,3.2,0.11,20.6,21.4,0.22,0.29
58,GRAIN,YARA,Oct (2017),LR2016,2016,F12,NOT,P3,F123,NK,,1.5,0.08,0.02,0.07,5.8,0.8,4.2,0.15,30,18.6,0.12,0.24
59,GRAIN,YARA,Oct (2017),LR2016,2016,F12,NOT,P4,F124,NP,,1.51,0.08,0.02,0.09,7.7,0.8,3.2,0.12,35,21,0.17,0.25
60,GRAIN,YARA,Oct (2017),LR2016,2016,F12,NOT,P5,F125,NPK,,1.55,0.08,0.01,0.08,5.7,0.6,4.1,0.11,34.8,20.2,0.17,0.29
61,GRAIN,YARA,Oct (2017),LR2016,2016,F13,NOT,P1,F131,Control,,0.89,0.08,0.01,0.08,7.2,0.9,3.7,0.2,77,18.9,0.18,0.32
62,GRAIN,YARA,Oct (2017),LR2016,2016,F13,NOT,P2,F132,PK,,1.03,0.08,0.02,0.08,5.6,0.8,2.9,0.04,20.1,18.1,0.2,0.28
63,GRAIN,YARA,Oct (2017),LR2016,2016,F13,NOT,P3,F133,NK,,1.62,0.03,0.02,0.09,9.6,1.5,3.7,0.19,49.4,21.2,0.14,0.38
64,GRAIN,YARA,Oct (2017),LR2016,2016,F13,NOT,P4,F134,NP,,1.46,0.03,0.01,0.09,8.1,1,3.7,0.11,34.1,22.5,0.26,0.33
65,GRAIN,YARA,Oct (2017),LR2016,2016,F13,NOT,P5,F135,NPK,,1.35,0.03,0.01,0.08,9.8,0.9,3.1,0.17,30.1,19.2,0.21,0.33
66,GRAIN,YARA,Oct (2017),LR2016,2016,F14,NOT,P1,F141,Control,,1.12,0.05,0.01,0.09,5.5,1,3.7,0.12,26.4,19.9,0.12,0.3
67,GRAIN,YARA,Oct (2017),LR2016,2016,F14,NOT,P2,F142,PK,,0.85,0.05,0.01,0.08,5.2,0.7,3.4,0.05,29.9,21.9,0.22,0.34
68,GRAIN,YARA,Oct (2017),LR2016,2016,F14,NOT,P3,F143,NK,,1.54,0.06,0.01,0.1,6.4,1,3.6,0.33,25.3,21.3,0.17,0.32
69,GRAIN,YARA,Oct (2017),LR2016,2016,F14,NOT,P4,F144,NP,,1.44,0.05,0.01,0.09,4.7,0.8,3,0.18,25.9,19,0.18,0.25
70,GRAIN,YARA,Oct (2017),LR2016,2016,F14,NOT,P5,F145,NPK,,1.39,0.06,0.01,0.09,5,0.7,4.4,0.24,44.3,20.9,0.21,0.29
71,GRAIN,YARA,Oct (2017),LR2016,2016,F15,NOT,P1,F151,Control,,1.53,0.07,0.02,0.12,6.6,1.2,3.7,0.39,47.6,23.9,0.28,0.37
72,GRAIN,YARA,Oct (2017),LR2016,2016,F15,NOT,P2,F152,PK,,1.08,0.07,0.02,0.11,6.8,1.2,4.2,0.35,38.2,21.8,0.29,0.34
73,GRAIN,YARA,Oct (2017),LR2016,2016,F15,NOT,P3,F153,NK,,1.39,0.08,0.01,0.1,5.1,1.3,3.1,0.3,29.6,23.9,0.28,0.36
74,GRAIN,YARA,Oct (2017),LR2016,2016,F15,NOT,P4,F154,NP,,1.55,0.07,0.01,0.09,4.9,0.8,3.1,0.14,31.9,21.1,0.2,0.25
75,GRAIN,YARA,Oct (2017),LR2016,2016,F15,NOT,P5,F155,NPK,,1.47,0.08,0.01,0.1,7.1,0.8,3.4,0.18,31.5,27.3,0.2,0.27
76,GRAIN,YARA,Oct (2017),LR2016,2016,F16,NOT,P1,F161,Control,,1.15,0.07,0.01,0.07,4.7,1,2.5,0.03,34.5,19.6,0.11,0.25
77,GRAIN,YARA,Oct (2017),LR2016,2016,F16,NOT,P2,F162,PK,,0.92,0.07,0.01,0.07,4.5,0.8,3.9,0.07,39.6,21.9,0.16,0.28
78,GRAIN,YARA,Oct (2017),LR2016,2016,F16,NOT,P3,F163,NK,,1.67,0.11,0.02,0.09,8.2,1.2,3.6,0.08,52.9,23.5,0.17,0.31
79,GRAIN,YARA,Oct (2017),LR2016,2016,F16,NOT,P4,F164,NP,,1.54,0.08,0.01,0.1,7.3,0.8,5.5,0.06,29,22.6,0.18,0.25
80,GRAIN,YARA,Oct (2017),LR2016,2016,F16,NOT,P5,F165,NPK,,1.35,0.08,0.01,0.08,5.5,0.7,3.3,0.1,45.1,18,0.16,0.27
81,GRAIN,YARA,Oct (2017),LR2016,2016,F17,NOT,P1,F171,Control,,1.1,0.08,0.02,0.07,4.5,1.5,4.1,0.04,25.3,18.9,0.12,0.23
82,GRAIN,YARA,Oct (2017),LR2016,2016,F17,NOT,P2,F172,PK,,0.88,0.07,0.01,0.06,4.9,1,3.2,0.07,34.1,18.6,0.14,0.27
83,GRAIN,YARA,Oct (2017),LR2016,2016,F17,NOT,P3,F173,NK,,1.88,0.11,0.03,0.13,22.4,2.2,5.8,0.15,114.1,36.4,0.24,0.55
84,GRAIN,YARA,Oct (2017),LR2016,2016,F17,NOT,P4,F174,NP,,1.61,0.09,0.02,0.09,6.8,0.8,3.5,0.04,29,22.4,0.16,0.26
85,GRAIN,YARA,Oct (2017),LR2016,2016,F17,NOT,P5,F175,NPK,,1.41,0.06,0.01,0.08,6.6,0.7,3.9,0.04,33.1,23.2,0.16,0.27
86,GRAIN,YARA,Oct (2017),LR2016,2016,F18,NOT,P1,F181,Control,,1.34,0.08,0.02,0.08,5.4,1.2,4,0.05,30.5,20.1,0.11,0.26
87,GRAIN,YARA,Oct (2017),LR2016,2016,F18,NOT,P2,F182,PK,,0.94,0.06,0.02,0.09,6.4,0.9,3.5,0.04,29.5,22.1,0.21,0.34
88,GRAIN,YARA,Oct (2017),LR2016,2016,F18,NOT,P3,F183,NK,,1.62,0.07,0.02,0.09,7,1.6,3.5,0.16,29.1,24.6,0.16,0.3
89,GRAIN,YARA,Oct (2017),LR2016,2016,F18,NOT,P4,F184,NP,,1.74,0.04,0.02,0.1,6.9,1.1,5.1,0.26,46.1,31.2,0.19,0.4
90,GRAIN,YARA,Oct (2017),LR2016,2016,F18,NOT,P5,F185,NPK,,1.6,0.06,0.02,0.11,6.8,1.4,4.3,0.2,31.1,26.9,0.23,0.34
91,GRAIN,YARA,Oct (2017),LR2016,2016,F19,NOT,P1,F191,Control,,0.98,0.09,0.01,0.07,4.7,1.2,4.3,0.06,38.7,19,0.14,0.25
92,GRAIN,YARA,Oct (2017),LR2016,2016,F19,NOT,P2,F192,PK,,0.98,0.07,0.01,0.07,4.5,0.9,3.5,0.05,21.5,17.9,0.17,0.31
93,GRAIN,YARA,Oct (2017),LR2016,2016,F19,NOT,P3,F193,NK,,1.25,0.08,0.02,0.09,5,1,3.9,0.12,52.8,22.5,0.18,0.31
94,GRAIN,YARA,Oct (2017),LR2016,2016,F19,NOT,P4,F194,NP,,1.65,0.11,0.02,0.1,7.1,1,4.3,0.06,28.4,22.7,0.19,0.27
95,GRAIN,YARA,Oct (2017),LR2016,2016,F19,NOT,P5,F195,NPK,,1.42,0.08,0.01,0.08,6.5,0.6,10.6,0.12,47,19.8,0.16,0.25
96,GRAIN,YARA,Oct (2017),LR2016,2016,F20,NOT,P1,F201,Control,,1.43,0.09,0.02,0.08,9.4,1.1,10.1,0.07,34.6,19.7,0.19,0.33
97,GRAIN,YARA,Oct (2017),LR2016,2016,F20,NOT,P2,F202,PK,,1.02,0.07,0.02,0.09,6.6,0.7,5.1,0.11,50,22.8,0.2,0.34
98,GRAIN,YARA,Oct (2017),LR2016,2016,F20,NOT,P3,F203,NK,,1.69,0.1,0.02,0.1,13.7,1.7,4.2,0.11,63.6,29.4,0.19,0.43
99,GRAIN,YARA,Oct (2017),LR2016,2016,F20,NOT,P4,F204,NP,,1.95,0.1,0.02,0.13,11.6,1.1,4.7,0.08,34.2,32.2,0.33,0.32
100,GRAIN,YARA,Oct (2017),LR2016,2016,F20,NOT,P5,F205,NPK,,1.48,0.09,0.02,0.1,7.8,0.8,4.3,0.09,35.5,26.4,0.22,0.29
101,GRAIN,YARA,Oct (2017),LR2016,2016,F21,NOT,P1,F211,Control,,1.31,0.11,0.02,0.09,6.3,1.6,3.5,0.08,50.1,21.6,0.15,0.33
102,GRAIN,YARA,Oct (2017),LR2016,2016,F21,NOT,P2,F212,PK,,0.99,0.06,0.01,0.07,4.4,0.9,2.8,0.04,22.9,19.9,0.14,0.26
103,GRAIN,YARA,Oct (2017),LR2016,2016,F21,NOT,P3,F213,NK,,2.13,0.12,0.02,0.1,17.1,2.2,6.4,0.03,61.4,25.7,0.16,0.57
104,GRAIN,YARA,Oct (2017),LR2016,2016,F21,NOT,P4,F214,NP,,1.45,0.08,0.01,0.1,7,1.1,4.6,0.12,50.2,27.4,0.2,0.31
105,GRAIN,YARA,Oct (2017),LR2016,2016,F21,NOT,P5,F215,NPK,,1.66,0.07,0.02,0.08,6,1,4,0.09,26.4,20.2,0.14,0.24
106,GRAIN,YARA,Oct (2017),LR2016,2016,F23,NOT,P1,F231,Control,,1.32,0.08,0.01,0.09,6.3,1.1,3.7,0.08,39.1,21.5,0.17,0.29
107,GRAIN,YARA,Oct (2017),LR2016,2016,F23,NOT,P2,F232,PK,,1.31,0.09,0.01,0.08,5.9,1,3,0.05,27.7,17,0.15,0.24
108,GRAIN,YARA,Oct (2017),LR2016,2016,F23,NOT,P3,F233,NK,,1.7,0.1,0.02,0.09,9.7,1.6,4.3,0.08,46.4,26.2,0.16,0.31
109,GRAIN,YARA,Oct (2017),LR2016,2016,F23,NOT,P4,F234,NP,,1.78,0.08,0.01,0.08,6.5,0.9,3.1,0.07,27.3,20.6,0.17,0.22
110,GRAIN,YARA,Oct (2017),LR2016,2016,F23,NOT,P5,F235,NPK,,1.63,0.08,0.01,0.07,5.5,0.6,4,0.05,32.1,19.9,0.17,0.26
111,GRAIN,YARA,Oct (2017),LR2016,2016,F24,NOT,P1,F241,Control,,1.61,0.09,0.02,0.11,11.6,1.1,4.3,0.12,39.1,29.4,0.21,0.42
112,GRAIN,YARA,Oct (2017),LR2016,2016,F24,NOT,P2,F242,PK,,1.09,0.07,0.02,0.08,8.5,0.8,3.8,0.9,274.8,22,0.18,0.31
113,GRAIN,YARA,Oct (2017),LR2016,2016,F24,NOT,P3,F243,NK,,,,,,,,,,,,,
114,GRAIN,YARA,Oct (2017),LR2016,2016,F24,NOT,P4,F244,NP,,1.75,0.1,0.02,0.09,8.6,1,4.4,0.05,32.9,21.6,0.23,0.26
115,GRAIN,YARA,Oct (2017),LR2016,2016,F24,NOT,P5,F245,NPK,,1.7,0.11,0.02,0.1,13.8,0.9,4.3,0.13,26.2,25.1,0.21,0.34
116,STOVER,YARA,Oct (2017),LR2016,2016,F10,NOT,P1,F101,Control,,0.6,0.06,0.32,0.3,84.2,3.4,4.7,0.22,373,51,0.03,0.93
117,STOVER,YARA,Oct (2017),LR2016,2016,F10,NOT,P2,F102,PK,,0.46,0.04,0.46,0.26,129.5,3.3,2.3,0.32,768,33.3,0.05,0.63
118,STOVER,YARA,Oct (2017),LR2016,2016,F10,NOT,P3,F103,NK,,1.08,0.06,0.3,0.2,279.9,3.4,4.9,0.2,1796,37.6,0.06,0.96
119,STOVER,YARA,Oct (2017),LR2016,2016,F10,NOT,P4,F104,NP,,0.97,0.07,0.61,0.35,203.5,5,6.3,0.2,1705,28.9,0.06,0.83
120,STOVER,YARA,Oct (2017),LR2016,2016,F10,NOT,P5,F105,NPK,,0.77,0.04,0.46,0.31,177.6,2.3,4,0.13,630,15.4,0.03,1.35
121,STOVER,YARA,Oct (2017),LR2016,2016,F11,NOT,P1,F111,Control,,0.35,0.08,0.18,0.13,155.9,4,3.7,0.4,3001,33.1,0.03,1.46
122,STOVER,YARA,Oct (2017),LR2016,2016,F11,NOT,P2,F112,PK,,0.46,0.07,0.22,0.23,162,4.4,2.7,0.32,2151,26,0.1,0.77
123,STOVER,YARA,Oct (2017),LR2016,2016,F11,NOT,P3,F113,NK,,,,,,,,,,,,,
124,STOVER,YARA,Oct (2017),LR2016,2016,F11,NOT,P4,F114,NP,,1.13,0.04,0.47,0.23,472.6,4.4,6.3,0.3,2444,11.3,0.08,0.23
125,STOVER,YARA,Oct (2017),LR2016,2016,F11,NOT,P5,F115,NPK,,1.02,0.04,0.26,0.12,541.7,4,2.8,0.35,1530,11.6,0.11,0.48
126,STOVER,YARA,Oct (2017),LR2016,2016,F12,NOT,P1,F121,Control,,0.58,0.05,0.32,0.3,135.5,3.7,2.3,0.37,696,26.9,0.03,0.77
127,STOVER,YARA,Oct (2017),LR2016,2016,F12,NOT,P2,F122,PK,,0.44,0.03,0.29,0.21,154.4,3.7,2.2,0.39,1651,13.2,0.05,1.16
128,STOVER,YARA,Oct (2017),LR2016,2016,F12,NOT,P3,F123,NK,,0.5,0.03,0.3,0.25,117,3.1,3.3,0.27,698,19.9,0.02,1.99
129,STOVER,YARA,Oct (2017),LR2016,2016,F12,NOT,P4,F124,NP,,0.52,0.03,0.31,0.26,135,3.8,4.6,0.29,1990,15.5,0.03,1.31
130,STOVER,YARA,Oct (2017),LR2016,2016,F12,NOT,P5,F125,NPK,,0.7,0.03,0.3,0.26,119.1,3.7,4.2,0.4,785,12.4,0.04,1.27
131,STOVER,YARA,Oct (2017),LR2016,2016,F13,NOT,P1,F131,Control,,0.54,0.1,0.24,0.24,187.9,3.5,2.4,0.8,1712,22.9,0.07,0.88
132,STOVER,YARA,Oct (2017),LR2016,2016,F13,NOT,P2,F132,PK,,0.42,0.1,0.2,0.21,298,3.4,4.3,0.73,3397,20.9,0.1,0.86
133,STOVER,YARA,Oct (2017),LR2016,2016,F13,NOT,P3,F133,NK,,1.07,0.05,0.17,0.2,204.8,2.7,3.3,0.44,700,37.7,0.06,1.09
134,STOVER,YARA,Oct (2017),LR2016,2016,F13,NOT,P4,F134,NP,,0.9,0.04,0.4,0.23,509.5,4.4,7.8,1.32,3234,35.2,0.09,0.31
135,STOVER,YARA,Oct (2017),LR2016,2016,F13,NOT,P5,F135,NPK,,0.54,0.03,0.33,0.18,536.7,3.6,3,0.75,3189,9.9,0.04,0.82
136,STOVER,YARA,Oct (2017),LR2016,2016,F14,NOT,P1,F141,Control,,0.41,0.07,0.31,0.21,161.5,4.1,3.8,0.5,3888,27.7,0.02,0.51
137,STOVER,YARA,Oct (2017),LR2016,2016,F14,NOT,P2,F142,PK,,0.35,0.04,0.18,0.12,81.9,2.4,1.4,0.33,1540,10.5,0.03,1.29
138,STOVER,YARA,Oct (2017),LR2016,2016,F14,NOT,P3,F143,NK,,1.04,0.04,0.33,0.31,100,3.5,4.2,0.25,1923,15.5,0.04,2.06
139,STOVER,YARA,Oct (2017),LR2016,2016,F14,NOT,P4,F144,NP,,0.72,0.04,0.31,0.25,138.3,4.3,5,0.52,3534,11.2,0.06,1.86
140,STOVER,YARA,Oct (2017),LR2016,2016,F14,NOT,P5,F145,NPK,,0.52,0.03,0.3,0.34,60.6,3,2.9,0.43,1549,6.7,0.03,1.32
141,STOVER,YARA,Oct (2017),LR2016,2016,F15,NOT,P1,F151,Control,,0.45,0.03,0.25,0.11,222.5,4.7,3.8,0.58,4665,21.7,0.04,1.71
142,STOVER,YARA,Oct (2017),LR2016,2016,F15,NOT,P2,F152,PK,,0.37,0.03,0.17,0.13,174.1,4.4,2.5,1.07,3890,13.7,0.09,1.54
143,STOVER,YARA,Oct (2017),LR2016,2016,F15,NOT,P3,F153,NK,,0.51,0.03,0.3,0.21,72.9,3.7,3.8,0.39,611,11.6,0.04,2.52
144,STOVER,YARA,Oct (2017),LR2016,2016,F15,NOT,P4,F154,NP,,0.64,0.04,0.26,0.16,319.1,5,4.2,0.96,5346,17,0.05,1.36
145,STOVER,YARA,Oct (2017),LR2016,2016,F15,NOT,P5,F155,NPK,,0.67,0.04,0.28,0.19,189.4,4.7,7.1,0.78,2357,75,0.04,1.98
146,STOVER,YARA,Oct (2017),LR2016,2016,F16,NOT,P1,F161,Control,,0.78,0.07,0.58,0.44,177.4,5.6,5.1,0.23,1861,61,0.04,0.57
147,STOVER,YARA,Oct (2017),LR2016,2016,F16,NOT,P2,F162,PK,,0.39,0.05,0.37,0.22,116,3.9,1.8,0.23,1168,34.3,0.03,0.77
148,STOVER,YARA,Oct (2017),LR2016,2016,F16,NOT,P3,F163,NK,,1.32,0.09,0.34,0.26,222.8,5,3.9,0.32,1709,52.2,0.06,1.24
149,STOVER,YARA,Oct (2017),LR2016,2016,F16,NOT,P4,F164,NP,,0.65,0.04,0.46,0.35,137.8,3.2,4,0.21,735,19,0.03,0.41
150,STOVER,YARA,Oct (2017),LR2016,2016,F16,NOT,P5,F165,NPK,,0.46,0.03,0.56,0.27,128.1,3.5,2.9,0.25,1765,11.5,0.03,1.19
151,STOVER,YARA,Oct (2017),LR2016,2016,F17,NOT,P1,F171,Control,,0.6,0.06,0.36,0.28,291.5,6.2,6.8,0.44,5987,47.2,0.04,0.49
152,STOVER,YARA,Oct (2017),LR2016,2016,F17,NOT,P2,F172,PK,,0.4,0.05,0.31,0.23,120.5,3.3,1.7,0.35,1006,30.5,0.05,1.14
